lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,previous_stays,reserved_room_type,booking_changes,deposit_type,days_in_waiting_list,average_daily_rate,total_of_special_requests
80,2,0,2,0,0,BB,Online TA,0,D,0,No Deposit,0,97,0
97,2,2,2,0,0,BB,Online TA,0,D,0,No Deposit,0,87.3,2
30,2,3,2,0,0,BB,Online TA,0,E,0,No Deposit,0,123,0
64,2,3,2,0,0,BB,Online TA,0,E,0,No Deposit,0,107,0
39,2,4,2,0,0,BB,Online TA,0,H,0,No Deposit,0,163,0
90,2,4,2,0,0,BB,Online TA,0,A,0,No Deposit,0,82,0
97,2,5,2,2,0,HB,Direct,0,C,1,No Deposit,0,164.2,1
29,2,5,2,0,0,BB,Online TA,0,F,0,No Deposit,0,97.29,1
8,4,5,2,2,0,BB,Online TA,0,H,1,No Deposit,0,175,1
94,4,6,3,0,0,BB,Direct,0,D,3,No Deposit,0,124.45,1
115,1,4,2,2,0,BB,Online TA,0,G,1,No Deposit,0,167,0
111,1,3,2,0,0,BB,Online TA,0,A,0,No Deposit,0,123,2
51,1,3,2,0,0,BB,Online TA,0,G,0,No Deposit,0,117.81,2
81,1,3,2,2,0,HB,Direct,0,G,0,No Deposit,0,210,0
84,1,3,2,0,1,BB,Online TA,0,D,1,No Deposit,0,97,2
51,1,3,3,0,0,BB,Online TA,0,G,0,No Deposit,0,117.81,2
111,0,0,2,0,0,BB,Online TA,0,A,0,No Deposit,0,0,2
0,0,0,1,0,0,BB,Direct,0,E,0,No Deposit,0,0,0
2,1,0,2,1,0,BB,Direct,0,A,0,No Deposit,0,131,0
7,1,1,2,0,0,BB,Online TA,0,A,0,No Deposit,0,98,2
98,1,1,2,0,0,BB,Online TA,0,D,0,No Deposit,0,87.3,1
95,1,2,2,0,0,BB,Online TA,0,D,0,No Deposit,0,97,1
104,1,3,2,0,0,BB,Online TA,0,A,1,No Deposit,0,73.8,1
28,1,4,2,0,0,BB,Online TA,0,E,0,No Deposit,0,123,0
34,1,4,2,0,0,HB,Direct,0,F,0,No Deposit,0,175,0
98,1,5,2,0,0,HB,Online TA,0,A,0,No Deposit,0,117.8,1
104,1,5,2,0,0,BB,Online TA,0,E,1,No Deposit,0,117.63,0
68,2,5,2,2,0,HB,Online TA,0,G,0,No Deposit,0,185,0
111,3,5,2,0,0,HB,Online TA,0,A,0,No Deposit,0,151,1
33,3,7,2,0,0,HB,Direct,0,F,5,No Deposit,0,157.1,1
80,3,8,1,0,0,BB,Direct,0,A,1,No Deposit,0,73,0
55,0,3,2,0,0,BB,Online TA,0,A,0,No Deposit,0,82,2
21,0,3,2,1,0,HB,Direct,0,F,0,No Deposit,0,185.5,1
8,0,0,2,0,0,BB,Direct,0,A,0,No Deposit,0,0,1
8,0,0,2,0,0,BB,Online TA,0,A,0,No Deposit,0,0,1
0,0,1,1,0,0,BB,Online TA,0,A,0,No Deposit,0,109.8,3
0,0,1,3,0,0,HB,Direct,0,C,0,No Deposit,0,195,0
0,0,1,1,0,0,BB,Online TA,0,A,0,No Deposit,0,109.8,3
8,0,4,3,2,0,BB,Online TA,0,H,2,No Deposit,0,193,1
66,0,4,2,0,0,BB,Online TA,0,D,0,No Deposit,0,97,2
0,0,4,2,0,0,BB,Direct,0,A,2,No Deposit,0,98,0
68,0,3,2,0,0,BB,Online TA,0,E,0,No Deposit,0,107,1
7,0,4,2,0,0,BB,Online TA,0,A,0,No Deposit,0,131,2
1,0,4,2,0,0,BB,Online TA,0,A,0,No Deposit,0,131,1
5,0,4,2,0,0,BB,Online TA,0,D,0,No Deposit,0,146,1
113,2,4,2,0,0,BB,Direct,0,E,1,No Deposit,0,77.96,1
96,2,5,2,0,0,BB,Online TA,0,E,0,No Deposit,0,107,1
33,2,5,2,0,0,HB,Online TA,0,E,0,No Deposit,0,155,0
82,2,6,3,0,0,BB,Direct,0,A,0,No Deposit,0,112,1
100,2,7,3,0,0,BB,Online TA,0,E,1,No Deposit,0,130.1,3
100,2,7,2,0,0,BB,Online TA,0,E,0,No Deposit,0,100.1,2
17,0,1,2,2,0,BB,Online TA,0,C,0,No Deposit,0,123,3
68,0,2,3,0,0,BB,Direct,0,A,0,No Deposit,0,124,1
12,0,2,2,2,0,BB,Direct,0,H,2,No Deposit,0,146,0
78,0,3,2,0,1,BB,Online TA,0,A,0,No Deposit,0,82,2
16,1,3,1,0,0,BB,Direct,0,A,0,No Deposit,0,98,1
14,2,3,2,0,0,BB,Online TA,0,A,0,No Deposit,0,75.46,1
249,2,5,2,0,0,HB,Online TA,0,A,0,No Deposit,0,112,1
10,0,1,2,0,0,BB,Direct,0,A,0,No Deposit,0,131,0
22,0,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,88.2,0
91,0,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,73.8,1
23,0,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,98,0
11,0,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,110.5,1
3,0,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,131,1
13,0,2,2,1,0,HB,Online TA,0,G,2,No Deposit,0,185,1
108,0,2,2,0,0,BB,Online TA,0,D,1,No Deposit,0,87.3,2
91,0,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,73.8,1
37,1,2,2,0,0,BB,Online TA,0,C,0,No Deposit,0,120,1
21,1,2,2,0,0,BB,Direct,0,A,0,No Deposit,0,98,1
106,1,2,2,0,0,BB,Online TA,0,E,0,No Deposit,0,96.3,2
30,2,2,2,0,0,FB,Direct,0,F,0,No Deposit,0,197,1
30,2,2,2,0,0,FB,Direct,0,F,0,No Deposit,0,197,1
79,2,3,2,0,0,BB,Online TA,0,A,0,No Deposit,0,82,2
21,2,3,2,0,2,HB,Direct,0,C,1,No Deposit,0,165,3
35,2,3,2,2,0,BB,Online TA,0,G,0,No Deposit,0,149.4,0
78,2,5,2,0,0,HB,Online TA,0,A,1,No Deposit,0,106.84,2
31,2,5,2,0,0,HB,Direct,0,D,1,No Deposit,0,161,1
78,2,5,2,0,0,HB,Online TA,0,D,1,No Deposit,0,134.43,2
78,2,5,2,0,0,HB,Online TA,0,E,1,No Deposit,0,144.43,2
34,2,5,2,1,0,HB,Online TA,0,F,0,No Deposit,0,125.54,3
11,2,6,3,1,0,BB,Direct,0,C,0,No Deposit,0,159.75,0
115,2,7,2,0,0,BB,Online TA,0,A,0,No Deposit,0,120.6,2
86,3,7,2,0,0,BB,Online TA,0,D,0,No Deposit,0,112.2,0
41,4,7,2,0,1,BB,Online TA,0,F,0,No Deposit,0,110.6,0
32,4,9,2,0,0,BB,Online TA,0,C,0,No Deposit,0,105.9,0
34,2,5,2,1,0,HB,Online TA,0,D,0,No Deposit,0,95.27,3
34,2,5,2,0,0,HB,Online TA,0,F,0,No Deposit,0,108.83,1
44,2,3,2,0,0,BB,Online TA,0,A,0,No Deposit,0,120.6,0
304,2,4,2,0,1,BB,Direct,0,A,1,No Deposit,0,90.67,1
70,2,4,2,0,0,BB,Online TA,0,A,0,No Deposit,0,99.5,2
110,2,5,2,0,0,BB,Direct,0,E,0,No Deposit,0,139.4,1
33,2,2,2,0,0,BB,Online TA,0,E,0,No Deposit,0,89.97,1
33,2,2,2,0,0,BB,Online TA,0,E,0,No Deposit,0,123,0
33,2,2,2,0,0,BB,Online TA,0,E,1,No Deposit,0,123,0
0,0,1,1,0,0,BB,Direct,0,A,0,No Deposit,0,123,0
0,0,1,2,0,0,HB,Online TA,0,A,1,No Deposit,0,144.9,1
0,0,1,2,0,0,BB,Direct,0,G,0,No Deposit,0,153,0
0,0,1,2,0,0,BB,Online TA,0,A,0,No Deposit,0,131,1
16,1,1,2,0,0,BB,Online TA,0,C,0,No Deposit,0,123,1
54,2,1,2,0,0,BB,Online TA,0,E,0,No Deposit,0,123,0
8,2,1,2,0,0,BB,Online TA,0,A,0,No Deposit,0,131,0
40,2,5,2,0,0,HB,Online TA,0,A,0,No Deposit,0,166,0
79,2,6,2,2,0,HB,Direct,0,G,1,No Deposit,0,213.75,0
32,4,6,2,0,0,HB,Online TA,0,E,1,No Deposit,0,178,0
110,2,5,2,0,0,BB,Direct,0,A,0,No Deposit,0,113.9,1
33,2,5,2,0,0,BB,Online TA,0,E,0,No Deposit,0,129.29,0
53,1,0,2,2,0,BB,Online TA,0,G,0,No Deposit,0,153,0
2,1,0,2,0,0,BB,Online TA,0,A,0,No Deposit,0,98,2
8,2,4,2,1,0,BB,Online TA,0,A,0,No Deposit,0,169,2
12,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,132.29,0
59,2,5,2,0,0,BB,Online TA,0,E,0,No Deposit,0,144.43,2
12,4,5,2,0,0,HB,Online TA,0,A,0,No Deposit,0,148.3,2
64,4,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,125.22,1
1,1,0,2,0,0,BB,Online TA,0,A,0,No Deposit,0,80.1,0
34,2,0,2,2,0,BB,Online TA,0,G,0,No Deposit,0,193,1
13,2,0,2,0,0,BB,Online TA,0,A,0,No Deposit,0,88.2,0
40,2,0,2,0,0,BB,Online TA,0,F,0,No Deposit,0,90.71,0
1,2,0,2,0,0,BB,Online TA,0,A,0,No Deposit,0,114.5,1
34,2,0,2,0,0,BB,Online TA,0,A,0,No Deposit,0,120.2,1
9,2,1,2,0,0,BB,Online TA,0,A,0,No Deposit,0,117.9,3
60,2,2,2,0,1,BB,Online TA,0,E,2,No Deposit,0,107,2
100,2,2,2,2,0,BB,Direct,0,G,0,No Deposit,0,130.05,1
8,2,3,2,2,0,BB,Online TA,0,H,0,No Deposit,0,196,1
34,2,3,2,0,0,HB,Online TA,0,D,0,No Deposit,0,149.4,0
47,2,5,2,0,0,BB,Online TA,0,G,0,No Deposit,0,175.71,0
91,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,100.86,0
98,1,1,2,0,0,BB,Online TA,0,A,0,No Deposit,0,82,3
109,1,1,2,0,0,BB,Online TA,0,A,0,No Deposit,0,73.8,1
0,1,1,2,0,0,BB,Online TA,0,A,0,No Deposit,0,117.9,0
98,1,1,2,0,0,BB,Online TA,0,A,0,No Deposit,0,82,3
0,1,1,4,0,0,BB,Direct,0,I,0,No Deposit,0,150,0
9,1,1,2,0,0,HB,Online TA,0,A,0,No Deposit,0,161,2
62,1,1,2,0,0,BB,Online TA,0,A,0,No Deposit,0,64,2
42,1,2,2,0,0,BB,Online TA,0,D,0,No Deposit,0,110,0
54,1,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,88.2,1
51,1,2,2,0,0,HB,Online TA,0,A,0,No Deposit,0,130,0
54,1,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,88.2,1
58,1,2,2,0,0,HB,Direct,0,E,2,No Deposit,0,165,1
40,1,4,2,0,0,BB,Direct,0,D,0,No Deposit,0,120,2
38,1,4,2,0,0,BB,Direct,0,D,0,No Deposit,0,120,0
101,1,4,2,0,0,BB,Online TA,0,A,0,No Deposit,0,107.2,0
40,1,4,2,0,0,BB,Direct,0,D,0,No Deposit,0,120,2
109,1,4,3,0,0,HB,Direct,0,E,0,No Deposit,0,163.8,1
72,1,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,98.5,2
118,2,5,2,0,0,FB,Direct,0,D,0,No Deposit,0,184.6,1
81,2,5,2,1,0,HB,Direct,0,E,0,No Deposit,0,181.22,2
16,1,0,2,0,0,BB,Online TA,0,A,0,No Deposit,0,100.2,3
56,1,3,2,0,0,HB,Online TA,0,A,1,No Deposit,0,134.25,0
41,3,6,2,0,0,BB,Online TA,0,D,0,No Deposit,0,83.09,2
1,0,1,2,0,0,BB,Online TA,0,A,2,No Deposit,0,8,1
1,0,2,2,0,0,BB,Online TA,0,D,1,No Deposit,0,146,1
0,0,4,2,0,0,BB,Online TA,0,A,0,No Deposit,0,111.15,1
49,0,5,2,0,0,BB,Online TA,0,E,1,No Deposit,0,136.2,2
76,0,5,2,0,0,BB,Direct,0,A,0,No Deposit,0,101.8,0
73,1,5,2,0,0,HB,Direct,0,A,0,No Deposit,0,127,1
73,1,5,2,1,0,HB,Direct,0,E,0,No Deposit,0,161.5,2
317,1,5,2,2,0,HB,Direct,0,H,1,No Deposit,0,230.67,2
6,2,5,2,0,0,HB,Online TA,0,A,0,No Deposit,0,180,2
8,2,5,2,0,0,HB,Online TA,0,A,1,No Deposit,0,168.57,1
99,2,7,2,0,0,BB,Direct,0,A,0,No Deposit,0,107,1
66,2,9,2,0,0,BB,Online TA,0,A,0,No Deposit,0,73.41,0
38,4,10,2,0,0,HB,Online TA,0,D,0,No Deposit,0,109.9,2
38,4,10,2,0,0,HB,Online TA,0,D,1,No Deposit,0,109.9,2
113,4,11,3,0,0,BB,Direct,0,H,1,No Deposit,0,187.5,3
37,2,4,2,0,0,HB,Online TA,0,D,0,No Deposit,0,106.9,0
37,2,6,2,2,0,BB,Online TA,0,H,0,No Deposit,0,216.13,0
83,2,7,2,2,0,BB,Online TA,0,G,0,No Deposit,0,190.33,1
13,0,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,120.6,1
50,0,1,2,0,0,BB,Online TA,0,F,0,No Deposit,0,123.2,0
7,0,1,2,2,0,BB,Online TA,0,C,1,No Deposit,0,169,1
0,0,2,2,2,0,BB,Direct,0,H,1,No Deposit,0,198,0
13,0,2,2,1,0,BB,Online TA,0,A,0,No Deposit,0,135.6,1
66,0,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,103.5,1
10,0,3,2,0,0,BB,Direct,0,D,0,No Deposit,0,184,0
19,0,3,2,0,0,BB,Online TA,0,A,0,No Deposit,0,121.33,1
10,2,3,2,0,0,BB,Direct,0,D,0,No Deposit,0,150.2,1
10,2,3,1,0,0,BB,Direct,0,D,1,No Deposit,0,150.2,1
63,1,3,2,0,0,BB,Online TA,0,A,0,No Deposit,0,75.44,1
113,2,4,2,0,0,HB,Online TA,0,A,0,No Deposit,0,166,1
21,4,10,1,0,0,HB,Direct,0,E,1,No Deposit,0,160,0
6,0,0,2,0,0,BB,Online TA,0,A,0,No Deposit,0,0,1
7,0,2,2,0,0,BB,Direct,0,A,0,No Deposit,0,127.25,1
17,0,2,2,0,0,BB,Online TA,0,E,0,No Deposit,0,164,2
1,0,2,2,0,0,BB,Online TA,0,D,0,No Deposit,0,144.5,0
11,0,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,155.5,0
1,0,2,2,0,0,BB,Direct,0,D,0,No Deposit,0,144.5,0
1,0,2,2,0,0,BB,Direct,0,D,0,No Deposit,0,144.5,0
15,0,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,120.6,1
94,2,3,2,0,0,BB,Direct,0,A,0,No Deposit,0,103.5,0
24,2,3,3,1,0,BB,Direct,0,G,1,No Deposit,0,195,1
24,2,4,2,0,0,BB,Online TA,0,E,0,No Deposit,0,164,0
23,2,5,2,2,0,BB,Direct,0,G,0,No Deposit,0,195,0
53,2,5,2,0,0,BB,Online TA,0,A,1,No Deposit,0,125,2
90,2,5,2,0,0,HB,Online TA,0,A,1,No Deposit,0,132.3,3
79,2,5,2,0,0,BB,Online TA,0,E,0,No Deposit,0,145,2
90,2,5,2,0,0,HB,Online TA,0,A,1,No Deposit,0,132.3,3
65,2,6,2,0,0,HB,Online TA,0,A,0,No Deposit,0,147,2
65,2,6,2,0,0,HB,Online TA,0,D,0,No Deposit,0,167,2
99,2,6,3,0,0,BB,Direct,0,H,0,No Deposit,0,210,1
25,3,7,2,0,0,HB,Direct,0,F,1,No Deposit,0,194.9,2
92,1,2,2,0,0,BB,Online TA,0,A,3,No Deposit,0,103.5,3
91,1,2,2,1,0,BB,Online TA,0,A,3,No Deposit,0,118.5,3
38,1,2,2,1,0,HB,Online TA,0,E,1,No Deposit,0,192,1
38,1,2,2,0,0,BB,Online TA,0,D,0,No Deposit,0,135,0
13,1,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,126.3,2
8,1,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,126.3,2
91,1,2,2,1,0,BB,Online TA,0,A,4,No Deposit,0,118.5,3
3,1,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,116.33,1
9,2,2,3,0,0,BB,Direct,0,A,0,No Deposit,0,164,1
19,2,1,2,0,0,BB,Online TA,0,D,0,No Deposit,0,147.67,2
25,2,4,2,0,0,BB,Direct,0,E,0,No Deposit,0,145,0
108,2,4,2,1,0,HB,Online TA,0,A,1,No Deposit,0,147,2
45,2,5,2,0,0,HB,Online TA,0,D,0,No Deposit,0,167,0
64,2,5,2,0,0,BB,Direct,0,E,0,No Deposit,0,137.75,1
44,2,2,2,0,0,BB,Direct,0,E,1,No Deposit,0,145,0
26,2,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,132.6,0
28,2,3,2,0,0,BB,Online TA,0,A,0,No Deposit,0,98.02,1
106,2,3,2,1,1,BB,Direct,0,C,0,No Deposit,0,126,2
1,0,1,2,0,0,BB,Direct,0,D,0,No Deposit,0,173,1
0,0,1,2,2,0,FB,Direct,0,C,0,No Deposit,0,249,0
4,1,1,1,2,0,BB,Online TA,0,G,0,No Deposit,0,186.5,0
3,2,1,1,0,0,BB,Direct,0,D,0,No Deposit,0,95,1
73,2,5,2,1,0,FB,Direct,0,D,0,No Deposit,0,241.5,2
44,2,5,2,0,0,HB,Online TA,0,E,0,No Deposit,0,177,0
94,2,5,2,0,0,BB,Direct,0,A,0,No Deposit,0,115,1
64,2,5,2,0,0,BB,Direct,0,D,0,No Deposit,0,128.25,1
64,2,5,2,0,0,BB,Direct,0,D,0,No Deposit,0,128.25,1
94,2,5,2,0,0,BB,Direct,0,A,0,No Deposit,0,115,1
87,4,10,2,0,0,BB,Online TA,0,A,0,No Deposit,0,124.5,0
0,1,0,2,0,0,BB,Direct,0,A,0,No Deposit,0,98,0
0,1,0,2,0,0,BB,Online TA,0,A,0,No Deposit,0,98,0
6,1,0,2,0,0,BB,Direct,0,D,0,No Deposit,0,135,0
0,1,0,2,0,0,BB,Online TA,0,A,0,No Deposit,0,88.2,0
19,1,0,2,0,0,BB,Online TA,0,A,0,No Deposit,0,120.6,1
4,2,0,2,0,0,BB,Online TA,0,E,0,No Deposit,0,154.5,2
44,2,2,2,0,0,BB,Direct,0,A,0,No Deposit,0,92,0
66,2,3,2,0,0,BB,Direct,0,A,0,No Deposit,0,115,1
41,2,5,2,2,0,HB,Online TA,0,C,0,No Deposit,0,131.37,1
117,2,5,2,0,0,BB,Online TA,0,A,1,No Deposit,0,117.84,2
47,2,4,2,1,0,BB,Online TA,0,A,0,No Deposit,0,129.16,1
123,2,4,2,0,1,BB,Online TA,0,E,2,No Deposit,0,130.5,1
0,0,0,2,0,0,BB,Online TA,0,A,0,No Deposit,0,0,1
79,1,3,2,0,1,BB,Online TA,0,A,0,No Deposit,0,115,3
63,1,3,2,0,0,BB,Online TA,0,A,0,No Deposit,0,115,0
68,1,3,2,0,0,BB,Online TA,0,A,3,No Deposit,0,103.5,2
96,1,3,2,0,0,HB,Direct,0,A,0,No Deposit,0,157,0
46,1,3,2,0,0,BB,Online TA,0,E,0,No Deposit,0,111.65,0
52,1,5,2,0,0,HB,Direct,0,A,0,No Deposit,0,133.17,0
65,2,5,2,2,0,BB,Online TA,0,C,0,No Deposit,0,167.5,0
82,2,5,2,0,1,HB,Online TA,0,A,0,No Deposit,0,152.43,3
62,2,5,2,0,0,HB,Online TA,0,D,1,No Deposit,0,167,1
61,0,4,2,0,0,BB,Online TA,0,A,0,No Deposit,0,103.5,0
8,0,5,3,0,0,BB,Direct,0,G,1,No Deposit,0,207,0
89,1,5,3,0,0,BB,Direct,0,A,0,No Deposit,0,163.33,1
57,2,5,2,0,0,HB,Online TA,0,E,0,No Deposit,0,151.86,0
108,2,6,2,0,0,BB,Online TA,0,A,0,No Deposit,0,112.05,1
28,2,7,2,1,0,BB,Direct,0,E,0,No Deposit,0,160,1
29,2,8,2,0,0,BB,Online TA,0,A,0,No Deposit,0,103.18,1
0,0,1,2,0,0,BB,Direct,0,E,0,No Deposit,0,153,0
44,0,4,2,1,0,HB,Online TA,0,D,1,No Deposit,0,167.69,1
16,0,0,2,2,0,BB,Online TA,0,C,0,No Deposit,0,0,0
73,0,0,2,0,0,BB,Online TA,0,D,1,No Deposit,0,0,1
3,0,1,2,0,0,BB,Online TA,0,D,0,No Deposit,0,154,1
0,0,1,2,0,0,BB,Direct,0,C,0,No Deposit,0,134,0
33,0,3,2,0,0,HB,Online TA,0,E,1,No Deposit,0,194,1
33,0,3,2,0,0,HB,Online TA,0,D,0,No Deposit,0,184,1
9,0,2,2,0,0,BB,Online TA,0,E,0,No Deposit,0,164,2
8,0,2,2,0,0,BB,Online TA,0,D,0,No Deposit,0,173,2
22,0,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,153,2
22,0,2,2,0,0,BB,Online TA,0,D,0,No Deposit,0,173,2
22,0,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,153,2
36,0,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,134,0
22,0,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,153,2
18,0,2,2,0,0,BB,Direct,0,D,0,No Deposit,0,154,0
8,0,2,2,0,0,BB,Online TA,0,D,0,No Deposit,0,173,2
1,1,2,3,0,0,BB,Online TA,0,H,2,No Deposit,0,222.67,0
14,2,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,149.7,1
55,2,3,2,0,0,BB,Online TA,0,A,0,No Deposit,0,75.44,1
55,2,3,2,0,0,BB,Online TA,0,A,0,No Deposit,0,75.44,1
